EmpNumber,Age,Gender,EducationBackground,MaritalStatus,EmpDepartment,EmpJobRole,BusinessTravelFrequency,DistanceFromHome,EmpEducationLevel,EmpEnvironmentSatisfaction,EmpHourlyRate,EmpJobInvolvement,EmpJobLevel,EmpJobSatisfaction,NumCompaniesWorked,OverTime,EmpLastSalaryHikePercent,EmpRelationshipSatisfaction,TotalWorkExperienceInYears,TrainingTimesLastYear,EmpWorkLifeBalance,ExperienceYearsAtThisCompany,ExperienceYearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,PerformanceRating
1001,56,Male,Technical Degree,Single,Data Science,Human Resources,Travel_Rarely,26,3,4.0,75,2,5,2.0,4,Yes,12,4,3,6,4.0,18,10,5,0,Yes,2
1002,46,Female,Human Resources,Single,Sales,Laboratory Technician,Non-Travel,10,3,3.0,63,4,3,1.0,8,No,20,3,11,2,4.0,3,9,2,14,No,4
1003,32,Female,Medical,Single,Sales,Manufacturing Director,Travel_Frequently,12,2,1.0,90,2,2,4.0,8,No,17,4,9,6,2.0,2,2,12,12,No,2
1004,25,Female,Medical,Single,Finance,Research Scientist,Non-Travel,10,4,4.0,99,2,3,2.0,1,Yes,17,4,2,4,4.0,16,10,7,3,No,3
1005,38,Female,Life Sciences,Married,Research & Development,Laboratory Technician,Non-Travel,24,3,3.0,40,4,5,2.0,1,No,13,2,3,5,4.0,18,6,12,11,No,2
1006,56,Male,Other,Divorced,Development,Healthcare Representative,Travel_Rarely,11,1,2.0,92,1,1,3.0,2,Yes,17,2,5,3,2.0,14,8,6,6,No,3
1007,36,Male,Technical Degree,Married,Human Resources,Healthcare Representative,Non-Travel,25,1,3.0,50,3,3,4.0,6,Yes,14,1,22,5,4.0,5,11,9,10,No,2
1008,40,Female,Medical,Single,Development,Manager,Travel_Frequently,2,4,2.0,32,2,4,2.0,2,No,22,2,4,2,1.0,11,5,4,1,No,3
1009,28,Male,Life Sciences,Single,Research & Development,Sales Representative,Travel_Rarely,5,5,4.0,39,3,4,1.0,0,No,20,2,2,5,1.0,18,2,10,0,No,3
1010,28,Male,Human Resources,Divorced,Human Resources,Sales Representative,Travel_Frequently,7,2,3.0,56,2,4,4.0,5,Yes,14,2,9,6,1.0,5,4,3,0,No,2
1011,41,Male,Marketing,Married,Development,Sales Executive,Travel_Frequently,6,1,2.0,41,4,1,3.0,2,No,12,3,18,4,4.0,10,6,0,9,No,3
1012,53,Female,Technical Degree,Divorced,Finance,Research Scientist,Travel_Rarely,22,1,1.0,36,1,5,4.0,0,Yes,24,4,13,0,1.0,19,7,9,13,No,2
1013,57,Female,Medical,Married,Human Resources,Human Resources,Travel_Frequently,23,4,3.0,46,3,2,1.0,3,No,16,2,20,0,3.0,19,12,2,13,No,3
1014,41,Female,Other,Single,Sales,Research Scientist,Travel_Rarely,3,5,4.0,94,2,5,3.0,0,No,20,3,27,2,1.0,9,13,1,5,No,3
1015,20,Male,Life Sciences,Divorced,Development,Manager,Travel_Frequently,13,5,1.0,93,4,1,1.0,0,No,23,4,20,5,3.0,15,11,7,11,No,3
1016,39,Female,Medical,Divorced,Human Resources,Sales Executive,Travel_Rarely,3,4,2.0,55,4,4,4.0,1,No,20,2,23,4,4.0,17,3,13,4,No,3
1017,19,Female,Other,Single,Finance,Laboratory Technician,Non-Travel,26,1,3.0,44,2,5,3.0,9,No,18,2,16,3,1.0,13,1,7,0,No,2
1018,41,Male,Medical,Divorced,Human Resources,Research Scientist,Travel_Frequently,25,2,3.0,62,2,2,1.0,7,Yes,18,4,21,6,3.0,3,9,11,9,No,2
1019,47,Female,Technical Degree,Married,Human Resources,Laboratory Technician,Travel_Rarely,24,1,4.0,91,2,4,4.0,1,Yes,10,3,18,5,4.0,11,1,4,2,No,2
1020,55,Female,Technical Degree,Married,Finance,Healthcare Representative,Travel_Frequently,21,5,1.0,76,1,2,1.0,1,Yes,10,3,9,5,1.0,19,11,13,14,No,1
1021,19,Male,Technical Degree,Married,Development,Manager,Travel_Frequently,6,1,3.0,64,2,3,2.0,9,No,19,1,10,3,2.0,7,2,4,10,Yes,3
1022,38,Male,Human Resources,Married,Data Science,Human Resources,Travel_Frequently,11,2,3.0,94,2,2,4.0,9,Yes,21,4,1,1,1.0,6,7,14,6,Yes,2
1023,50,Male,Human Resources,Single,Development,Manufacturing Director,Travel_Rarely,28,3,1.0,54,1,4,3.0,7,Yes,21,1,32,6,1.0,8,0,10,11,Yes,2
1024,29,Female,Life Sciences,Divorced,Research & Development,Sales Representative,Non-Travel,26,1,3.0,86,4,3,3.0,5,No,20,3,30,2,1.0,16,13,3,8,No,3
1025,39,Female,Technical Degree,Married,Finance,Manager,Non-Travel,17,4,1.0,61,2,4,2.0,3,No,24,2,34,6,2.0,9,6,0,12,No,3
1026,42,Female,Other,Single,Development,Research Scientist,Non-Travel,10,3,1.0,92,3,4,1.0,2,No,14,1,22,4,3.0,2,5,0,8,No,3
1027,44,Male,Medical,Divorced,Human Resources,Research Director,Travel_Rarely,12,4,1.0,41,4,3,1.0,0,Yes,10,3,25,2,3.0,7,13,12,14,No,1
1028,59,Male,Marketing,Divorced,Finance,Sales Representative,Non-Travel,17,4,4.0,92,3,2,3.0,2,Yes,13,3,24,3,2.0,13,1,5,5,No,3
1029,45,Female,Other,Single,Sales,Sales Representative,Travel_Rarely,4,4,1.0,30,2,1,1.0,8,No,21,2,16,4,1.0,6,8,14,2,No,2
